epoch,accuracy,loss,val_accuracy,val_loss
0,0.4636036455631256,1.2224810123443604,0.4870316982269287,1.1806315183639526
1,0.6490451097488403,0.8639910817146301,0.5504322648048401,1.1280654668807983
2,0.7204539179801941,0.7050521373748779,0.5561959743499756,1.137636661529541
3,0.7824522852897644,0.5537998676300049,0.5216138362884521,1.2096991539001465
4,0.8336562514305115,0.4529423415660858,0.5619596838951111,1.4358845949172974
5,0.8508164882659912,0.39787131547927856,0.5504322648048401,1.3448363542556763
6,0.8945474624633789,0.2936703562736511,0.5734870433807373,1.5209968090057373
7,0.9155825972557068,0.24076102674007416,0.5878962278366089,1.5539757013320923
8,0.9125380516052246,0.2415493130683899,0.5734870433807373,1.6000196933746338
9,0.9332964420318604,0.19982604682445526,0.5734870433807373,1.8759657144546509
10,0.9454746842384338,0.17369388043880463,0.5734870433807373,1.901696801185608
11,0.952117383480072,0.14361055195331573,0.5677233338356018,1.9276862144470215
12,0.9623581767082214,0.12483520060777664,0.5965417623519897,1.9074805974960327
13,0.9529476761817932,0.13951900601387024,0.5533141493797302,2.066721200942993
14,0.9662330746650696,0.10793007910251617,0.5475504398345947,2.270531415939331
15,0.9678937196731567,0.0959315076470375,0.5619596838951111,2.208923578262329
16,0.9648491740226746,0.10400381684303284,0.5936599373817444,2.2574644088745117
17,0.9631884694099426,0.09997780621051788,0.5389049053192139,2.415278434753418
18,0.9703847169876099,0.08324752002954483,0.559077799320221,2.446632146835327
19,0.9709382653236389,0.08170244842767715,0.5878962278366089,2.278446674346924
20,0.9537780284881592,0.13719424605369568,0.5417867302894592,2.4768574237823486
21,0.9640188217163086,0.10039734095335007,0.5561959743499756,2.5765039920806885
22,0.9687240719795227,0.09057833254337311,0.5504322648048401,2.7685985565185547
23,0.9706615209579468,0.08374188095331192,0.5734870433807373,2.4274954795837402
24,0.9748131632804871,0.06920859217643738,0.5561959743499756,2.6248698234558105
